album_id,artist_id
0,0
1,1
1,42
1,43
1,44
1,280
1,451
1,452
1,453
1,533
1,534
1,735
1,911
1,1841
2,2
3,3
4,4
4,5
5,6
5,7
6,8
7,9
8,10
9,11
9,12
9,13
10,14
11,15
11,16
11,17
11,18
11,19
11,20
18,21
18,22
19,23
20,24
21,25
22,26
22,27
24,28
25,29
26,30
26,31
26,32
28,33
30,34
30,35
34,36
34,37
35,38
35,39
35,40
35,41
36,45
39,46
39,47
41,48
42,49
42,50
45,51
47,52
49,53
49,54
49,55
49,56
50,57
51,58
52,59
52,60
52,61
52,62
53,63
53,64
53,65
53,66
53,67
53,68
53,69
53,70
53,71
53,72
53,73
54,74
54,75
54,76
54,77
54,78
54,79
54,80
55,81
55,82
55,83
55,84
55,85
55,86
55,87
55,88
55,89
56,90
57,91
58,92
58,7448
58,7449
58,7450
58,7451
58,7452
58,7453
58,7454
58,7455
58,7456
58,7457
58,7458
58,7459
58,7460
60,93
62,94
63,95
63,96
63,7992
64,97
64,98
65,99
65,100
67,101
68,102
68,103
68,104
68,105
68,106
68,107
69,108
69,109
69,110
69,111
70,112
70,113
72,114
72,2936
72,2937
72,2938
72,2939
72,2940
72,2941
72,2942
72,2943
73,115
73,116
75,117
75,118
76,119
77,120
78,121
79,122
81,123
82,124
82,125
87,126
89,127
90,128
90,129
91,130
91,131
91,132
91,133
91,134
91,135
91,136
91,137
92,138
92,139
92,140
92,141
92,142
92,143
92,144
92,145
92,146
92,147
92,148
92,149
92,150
92,151
93,152
93,153
93,154
93,155
96,156
96,157
98,158
99,159
99,160
99,161
99,162
99,163
100,164
100,165
100,166
101,167
101,168
101,169
101,170
101,171
101,172
103,173
104,174
104,175
105,176
105,177
105,178
105,179
105,180
105,181
105,182
106,183
106,184
106,185
108,186
108,187
108,188
110,189
112,190
113,191
113,192
114,193
114,194
114,195
114,196
114,197
114,198
115,199
115,200
115,201
116,202
116,203
116,204
117,205
117,206
118,207
119,208
120,209
120,210
121,211
121,212
121,213
122,214
123,215
123,216
123,217
124,218
124,219
124,220
124,221
124,222
125,223
125,224
125,225
125,226
126,227
128,228
128,229
135,230
135,231
135,232
135,233
135,234
135,235
136,236
136,237
136,238
136,239
136,240
137,241
137,242
23,243
138,244
140,245
140,246
140,247
140,248
141,249
144,250
144,251
144,252
146,253
146,254
146,255
146,256
147,257
147,258
147,259
147,260
147,261
147,262
148,263
148,264
148,265
148,266
149,267
149,268
149,269
149,270
150,271
150,272
150,273
151,274
156,275
156,276
156,277
157,278
159,279
160,281
161,282
162,283
163,284
164,285
165,286
166,287
167,288
167,289
171,290
171,291
173,292
173,293
173,294
173,295
174,296
174,297
175,298
175,299
179,300
182,301
184,302
186,303
190,304
190,305
191,306
192,307
192,308
192,309
192,310
193,311
194,312
194,313
194,314
194,315
195,316
196,317
196,318
196,319
197,320
202,321
204,322
204,323
205,324
206,325
207,326
208,327
209,328
211,329
212,330
213,331
214,332
214,333
214,334
214,335
214,336
214,337
214,338
216,339
219,340
225,341
227,342
227,343
228,344
229,345
229,346
230,347
230,348
230,349
230,350
230,351
230,352
230,353
230,354
230,355
231,356
231,357
231,358
231,359
231,360
232,361
232,362
232,363
232,364
232,365
232,366
232,367
237,368
238,369
240,370
240,371
240,372
240,373
242,374
243,375
245,376
245,377
246,378
248,379
249,380
249,381
249,382
249,383
249,384
249,385
249,386
250,387
251,388
251,389
253,390
254,391
255,392
255,393
255,394
255,395
255,396
255,397
255,398
255,399
255,400
255,401
255,402
255,403
255,404
255,405
255,406
255,407
255,408
255,409
255,410
255,411
255,412
256,413
256,414
256,415
256,416
259,417
263,418
264,419
266,420
267,421
268,422
271,423
271,424
271,425
278,426
281,427
281,428
282,429
284,430
284,431
285,432
286,433
286,434
287,435
287,436
287,437
287,438
287,439
288,440
289,441
289,442
289,443
289,444
289,445
290,446
290,447
291,448
291,449
291,450
292,454
292,455
292,456
293,457
293,458
298,459
300,460
301,461
301,462
301,463
301,464
301,465
302,466
302,467
302,468
303,469
303,470
304,471
304,472
305,473
306,474
307,475
308,476
308,477
309,478
309,479
310,480
310,481
311,482
317,483
317,484
318,485
319,486
321,487
324,488
326,489
326,490
326,491
327,492
328,493
329,494
329,495
330,496
331,497
332,498
335,499
335,500
335,501
335,502
336,503
338,504
340,505
342,506
342,507
342,508
343,509
343,510
343,511
343,512
347,513
348,514
348,515
348,516
348,517
348,518
349,519
349,520
349,521
349,522
350,523
350,524
351,525
351,526
353,527
353,528
353,529
353,530
360,531
362,532
364,535
364,536
364,537
367,538
367,539
368,540
371,541
371,542
371,543
373,544
374,545
374,546
376,547
376,548
376,549
376,550
376,551
376,552
376,553
376,554
376,555
377,556
377,557
378,558
387,559
388,560
390,561
391,562
391,563
392,564
392,565
394,566
394,567
395,568
401,569
402,570
403,571
403,572
412,573
413,574
413,575
413,576
413,577
413,578
413,579
414,580
414,581
414,582
415,583
416,584
418,585
418,586
418,587
418,588
418,589
418,590
423,591
423,592
423,593
424,594
426,595
426,596
428,597
429,598
432,599
433,600
434,601
434,602
434,603
435,604
439,605
439,606
439,607
439,608
439,609
440,610
440,611
440,612
440,613
440,614
440,615
441,616
441,617
441,618
443,619
443,620
443,621
448,622
449,623
450,624
450,625
450,626
450,627
450,628
451,629
451,630
452,631
453,632
457,633
460,634
460,635
460,636
461,637
461,638
461,639
461,640
461,641
461,642
461,643
461,644
462,645
462,646
462,647
462,648
462,649
462,650
462,651
463,652
464,653
465,654
465,655
467,656
470,657
470,658
470,659
471,660
472,661
473,662
473,663
474,664
31,665
31,666
31,667
478,668
478,669
479,670
479,671
480,672
481,673
481,674
482,675
484,676
485,677
485,678
486,679
488,680
488,681
488,682
488,683
492,684
492,685
493,686
494,687
494,688
494,689
494,690
494,691
494,692
494,693
506,694
507,695
508,696
509,697
510,698
512,699
512,700
513,701
514,702
515,703
516,704
518,705
518,706
519,707
521,708
522,709
523,710
524,711
525,712
525,713
527,714
528,715
529,716
530,717
530,718
531,719
531,720
534,721
534,722
535,723
537,724
537,725
538,726
538,727
542,728
544,729
546,730
546,731
546,732
547,733
547,734
549,736
550,737
552,738
553,739
554,740
555,741
556,742
557,743
558,744
559,745
559,746
559,747
559,748
559,749
560,750
561,751
563,752
566,753
568,754
568,755
568,756
568,757
569,758
571,759
571,760
573,761
574,762
574,763
574,764
575,765
577,766
579,767
580,768
581,769
582,770
582,771
583,772
584,773
585,774
585,775
586,776
586,777
588,778
588,779
589,780
590,781
590,782
590,783
592,784
592,785
592,786
593,787
594,788
594,789
594,790
594,791
594,792
596,793
597,794
597,795
597,796
598,797
598,798
598,799
598,800
598,801
598,802
599,803
600,804
600,805
600,806
600,807
600,808
603,809
603,810
603,811
603,812
603,813
603,814
603,815
603,816
603,817
603,818
603,819
604,820
604,821
604,822
604,823
604,824
605,825
606,826
607,827
608,828
608,829
608,830
608,831
608,832
609,833
609,834
609,835
609,836
609,837
609,838
609,839
609,840
610,841
610,842
610,843
610,844
610,845
610,846
610,847
610,848
610,849
610,850
610,851
611,852
611,853
611,854
612,855
613,856
614,857
614,858
616,859
617,860
618,861
625,862
626,863
626,864
627,865
628,866
628,867
629,868
630,869
631,870
634,871
636,872
639,873
639,874
640,875
642,876
642,877
643,878
644,879
645,880
645,881
646,882
646,883
646,884
646,885
646,886
646,887
646,888
647,889
647,890
647,891
647,892
655,893
655,894
655,895
656,896
656,897
656,898
656,899
656,900
657,901
657,902
657,903
658,904
658,905
658,906
658,907
658,908
660,909
661,910
662,912
663,913
663,914
664,915
665,916
665,917
665,918
665,919
666,920
666,921
666,922
667,923
668,924
669,925
670,926
670,927
671,928
672,929
672,930
672,931
672,932
672,933
672,934
672,935
672,936
672,937
672,938
672,939
673,940
673,941
673,942
674,943
675,944
676,945
676,946
677,947
677,2824
677,2825
677,2826
677,5508
677,5509
677,5510
678,948
679,949
680,950
680,951
681,952
681,953
681,954
681,955
681,1314
681,1315
681,1316
681,1317
681,1318
682,956
682,957
682,958
682,959
682,960
682,961
682,962
683,963
683,964
683,965
683,966
683,967
684,968
684,969
685,970
686,971
686,972
687,973
687,974
688,975
689,976
689,977
689,978
689,979
689,980
689,981
689,982
690,983
692,984
694,985
694,986
695,987
695,988
696,989
698,990
698,991
699,992
700,993
700,994
701,995
702,996
702,997
702,998
702,999
702,1000
702,1001
702,1002
702,1003
702,1004
702,1005
702,1006
703,1007
703,1008
703,1009
703,1010
703,1011
703,1012
703,1013
704,1014
704,1015
704,1016
705,1017
706,1018
706,1019
707,1020
707,1021
708,1022
708,1023
710,1024
712,1025
